90,6,2,1036,103,114,1,1,1.7208e+05,3.5596e+05,2,6527,1.8519e+06
88,1,0,2165,205,101,0.4,1.2,43107,44139,3,130,1.1319e+06
85,62,77,3806,258,166,1.4,1.4,4.9214e+05,2.6871e+05,5.2,256,1.3146e+06
81,5,0,4721,256,177,0.99,2.58,5.2479e+05,1.7496e+05,1,233,9.7261e+05
79,42,55,3949,249,244,2.6,4.6,1.9729e+05,5.292e+05,3.4,331,1.0138e+06
92,5,1,1692,132,87,0.4,1.8,2.2019e+05,1.0703e+05,2.2,2291,1.0107e+06
82,3,0,635,65,47,3,3,87465,40740,1,289,1.8066e+06
90,7,5,1341,240,120,0.4,0.6,7.1844e+05,6.7229e+05,4.8,2532,1.0371e+06
87,159,40,2443,299,262,1,1,2.4038e+05,2.0945e+05,2.8,536,1.0696e+06
86,1,0,3322,271,170,1,3.2,3.9928e+05,1.2868e+05,1,579,1.1202e+06
87,9,3,1626,106,100,1.2,1.2,2.6102e+05,1.1166e+05,1,615,1.0736e+06
93,11,2,1687,76,115,0.4,0.4,76103,93789,1,631,1.0684e+06
84,2,1,5402,406,274,0.2,0.2,22609,1.5515e+05,2.5,152,1.015e+06
92,6,2,2040,121,112,0.6,0.6,38688,60507,1,1201,1.1112e+06
0,172,113,1427,171,134,0.6,3.39,2.6164e+05,1.0365e+05,744,92,8
94,82,44,2342,156,323,0.6,0.6,97904,75368,3.2,487,1.3201e+06
81,37,49,4667,673,457,2.6,0.8,2.6218e+05,2.2011e+05,1.4,287,1.0738e+06
91,13,12,2859,459,215,0.6,2,6.5214e+05,5.8546e+05,3.2,220,1.0438e+06
83,24,32,419,41,27,2,2,91694,34919,1.2,3733,1.8193e+06
90,67,90,1850,131,61,1.2,2.2,40316,23559,1.3,694,1.0203e+06
88,15,5,1795,343,209,1,1,91247,93705,2,112,1.5272e+06
89,4,0,1969,209,200,2.4,0.8,1.3148e+05,48942,1.3,1126,1.0532e+06
87,10,4,3734,212,168,1.2,1,1.9781e+05,1.1216e+05,2,1446,1.1102e+06
76,11,6,4515,185,165,3.79,4.99,85634,65019,4.4,890,1.537e+06
92,5,4,1568,68,102,0.2,0.2,42053,30000,1.5,313,1.0165e+06
83,8,3,3942,702,244,1,0.8,4.6384e+05,1.6688e+05,6.6,159,1.2952e+06
90,2,0,457,48,37,2,2,65518,74456,1,6493,1.852e+06
89,5,0,3300,395,219,2,0.8,1.3369e+05,89066,4.8,2230,1.5551e+06
98,0,0,408,62,45,0.2,0.2,1635,17161,3,626,1.7113e+06
90,1,0,2596,211,195,0.2,0.2,2.9911e+05,67609,2.8,266,1.7155e+06
96,1,1,963,90,62,0.6,0.6,91754,14319,2.2,3125,1.7076e+06
92,6,5,1860,128,103,0.6,0.8,1.1892e+05,56765,2.2,238,9.8245e+05
91,3,2,1710,131,122,0.6,1,68306,1.0355e+05,3.2,493,1.0631e+06
87,5,0,4901,508,330,2,0.6,1.6597e+05,1.5504e+05,2.8,2560,1.6465e+06
83,13,8,4349,300,191,2.8,3,96009,70467,2.2,772,9.9391e+05
73,622,543,5572,480,297,1.2,3.8,1.6693e+05,1.2847e+05,3,527,1.0618e+06
72,28,23,6465,408,177,4.2,5,4.5449e+05,41075,2.8,437,9.9932e+05
90,12,10,1783,102,78,1.4,0.8,1.1829e+05,25482,3.2,512,9.8984e+05
81,8,2,3309,503,365,4.17,2.78,8.2728e+05,2.2392e+05,2,747,1.1124e+06
96,2,1,253,22,24,0.8,0.8,34552,22677,1.2,7091,1.8462e+06
97,1,0,1276,29,31,0.6,4.2,47728,9473,2.2,4590,1.8291e+06
93,57,55,1123,107,79,0.2,0.2,20746,36718,1.4,941,9.7267e+05
82,22,15,4679,409,258,2.4,3.2,5.4275e+05,2.9395e+05,3.8,876,1.3437e+06
71,38,30,5991,289,193,5.8,6,4.0108e+05,2.0542e+05,2.3,213,1.0158e+06
67,26,2,5404,475,246,6.2,16.4,3.284e+05,1.9665e+05,3.8,122,1.0912e+06
87,5,3,3786,167,149,1.2,1.2,1.7274e+05,1.6103e+05,1,700,9.8639e+05
83,32,42,2331,242,212,4,1.6,1.5855e+05,34270,1,205,1.0236e+06
90,1,0,1816,155,99,0.8,1,44286,56277,1,1259,1.0481e+06
86,2,0,4228,206,186,1.8,0.6,84452,45749,2.2,600,1.741e+06
96,2,1,986,73,54,0.2,0.2,5562,23881,2.3,217,1.0138e+06
91,0,0,255,32,32,0.2,0.2,1430,7410,1.6,1196,1.767e+06
86,40,11,3402,283,202,2.8,4.2,2.2518e+05,28672,1,1025,1.0927e+06
52,55,0,4652,302,223,16.17,36.93,1.81e+05,29681,1,187,1.1028e+06
88,14,4,1575,358,236,2.2,1.8,4.6885e+05,1.7357e+05,1,362,1.0703e+06
95,1,0,928,115,89,0.4,1.4,4969,17251,5,889,1.0639e+06
76,7,1,2319,207,94,0.6,1.2,1.1322e+06,33317,2.8,98,9.8442e+05
89,2,1,2133,134,90,0.8,1,1.0081e+05,83681,1.8,405,9.8728e+05
94,1,0,1372,66,41,0.2,0.2,17950,17530,1.4,986,1.0661e+06
96,9,8,470,129,81,0.2,0.2,2.9136e+05,51259,1.2,1302,1.7605e+06
80,32,26,3205,350,245,1,1.4,1.0937e+05,69986,2.6,405,1.3153e+06
76,25,0,3346,198,131,6.21,18.04,2.1173e+05,48291,2.7,133,1.0995e+06
87,16,14,1363,121,82,0.8,0.6,3.2136e+05,1.8329e+05,3.2,753,1.5116e+06
97,0,0,431,39,72,0.8,0.6,13226,49176,1,172,1.7463e+06
97,0,0,183,38,21,0.2,0.2,2.5577e+05,2.2853e+05,2.8,3652,1.82e+06
91,13,21,324,19,14,0.2,0.2,644,4682,1.8,1230,1.7502e+06
0,2,0,1240,87,83,0.4,0.6,21455,50048,679,93,7
91,13,3,1651,78,60,0.8,3,56684,21286,1,590,1.0328e+06
92,33,43,1613,161,110,0.2,0.2,11850,28651,1,253,1.0214e+06
76,9,1,3326,383,177,6.2,19.2,34844,28865,1.5,188,1.1031e+06
80,41,32,5200,185,121,2.79,7.19,59209,63458,2.4,209,1.6236e+06
99,2,1,174,11,24,0.2,0.2,10271,8797,1,6442,1.8713e+06
85,2,0,534,75,53,2.2,2.2,57506,28455,1.2,359,1.8133e+06
92,31,38,1145,143,124,3.19,1,81774,6003,1.6,7313,1.8606e+06
99,0,0,159,15,16,0.2,0.2,454,5323,1,7226,1.8599e+06
86,8,0,2956,409,371,3.6,3,2.5453e+05,1.9762e+05,2.8,5037,1.672e+06
90,2,1,3735,279,143,0.4,1,3.8781e+05,2.144e+05,4,3768,1.3333e+06
80,11,4,3794,340,304,4,2.2,1.745e+05,1.415e+05,1.2,466,1.0794e+06
82,56,62,1929,146,97,1.8,3.6,3.1948e+05,97895,1.8,553,1.0853e+06
95,2,2,1424,133,101,0.2,0.2,2.1041e+05,16994,2,342,9.791e+05
88,23,32,3355,234,111,1.2,3,1.5524e+05,1.2676e+05,5.4,4018,1.606e+06
97,0,0,393,162,57,0.2,0.2,2.1093e+05,2.0709e+05,2.4,1323,1.7457e+06
76,17,9,1048,124,69,1,1.4,6.8393e+05,1.8839e+05,1,309,1.0513e+06
96,1,0,958,117,45,0.6,0.6,2.1575e+05,27639,2,6280,1.8453e+06
88,3,3,1941,427,173,0.8,0.8,6.5888e+05,8.4473e+05,1.8,635,1.0457e+06
79,7,0,3758,508,978,5.8,1.6,2.3326e+05,87134,4.2,981,1.705e+06
96,1,1,857,90,44,0.2,0.2,46735,82746,1,6709,1.8188e+06
96,40,54,844,28,33,0.2,0.2,817,11451,2,4707,1.7277e+06
97,0,0,222,30,22,0.2,0.2,84896,5119,1.6,7302,1.8604e+06
86,4,0,2921,248,205,3.8,1.4,1.4042e+05,21712,3,177,1.4378e+06
90,6,4,2573,189,118,0.6,0.6,1.0729e+05,30575,1.4,1107,9.757e+05
90,16,14,2131,116,84,0.8,1.2,26886,41641,3,793,9.9066e+05
79,30,13,3962,617,514,4.2,1.2,3.268e+05,2.6565e+05,1.2,191,1.0822e+06
79,9,2,3750,280,226,1.2,4,1.948e+05,3.6234e+05,2.8,402,9.8487e+05
80,37,4,3499,388,117,4.19,5.99,2.8804e+05,14367,4.2,766,1.3053e+06
88,60,71,2647,289,300,1,3.2,32797,37359,1,505,1.1015e+06
93,6,3,1005,63,60,0.2,0.2,1.3473e+05,76858,2.2,1789,1.5257e+06
89,10,10,3224,222,100,0.6,0.6,95098,46440,1.5,211,9.968e+05
