0.049118,0.41301,0.60744,0.33261,0.40681,-0.15122,1.5252,-0.14437,0.85237,0.4124,1.7282,-0.44923,4.0785,0.23204,-0.32319,0.79224,0.42147,-0.3075,3.0867,0.36395,0.44131,-0.27685,2,1.9747,-0.77676,-0.78377,8,0.60349,-0.99712,-0.50214,5,1.1694,9
0.24258,-0.60238,0.35062,0.4292,0.41448,-0.12449,4.598,0.57946,0.65113,0.10439,0.63636,-0.28379,3.5466,0.11586,0.40907,2.153,0.75868,0.34113,1.479,0.66249,0.4624,0.33967,6,0.79898,-0.00282,-0.080542,2,1.1255,-0.9834,-0.10763,5,1.186,7
0,-0.32288,-0.53849,1.6023,0.039605,0.19602,1.909,-0.67567,0.96362,0.14746,1.414,0.49545,0.056459,-0.16315,0.35022,1.1241,1.3982,-0.45692,1.6007,0.65025,-0.24738,0.318,3,0.57735,-0.95264,-0.5716,5,1.2804,0.77113,-0.66576,5,1.0242,6
0.46904,-0.23357,-0.93645,1.7102,2.1795,0.43846,4.7421,-0.16362,-0.92327,0.59762,0.11841,0.22998,3.2091,-0.16505,0.012872,0.39815,1.3358,0.11991,13.07,0.30822,-0.74384,0.25836,4,0.76008,-0.19823,-0.20528,2,0.50973,-0.57954,0.48009,6,1.5685,7
0,0.40313,0.31337,0.82238,1.394,0.25344,9.3986,0.31253,0.28832,0.43187,0.11037,0.29467,1.2741,0.32835,-0.28896,0.067075,0.63294,0.14862,3.6338,0.2332,-0.68529,-0.75821,6,1.1701,0.57335,0.31522,2,0.62203,-0.13475,0.66995,3,1.2959,9
0,-0.017878,0.22077,0.037941,0.29855,-0.47277,3.7628,-0.79546,0.16591,0.42101,0.013787,-0.13909,0.38112,0.83692,-0.80139,2.243,0.19403,-0.30385,0.63623,0.55407,0.60293,-0.77223,3,1.0633,-0.38755,-0.2539,5,0.5978,-0.63175,0.041766,3,1.4669,7
0,0.3457,0.65841,0.004313,0.041727,0.24831,1.4766,0.31782,-0.015015,0.87018,1.0599,0.27509,0.65409,-0.33089,0.90807,1.3088,0.14378,0.20871,5.2279,0.40905,0.64931,0.010654,7,0.90149,0.36835,-0.13616,4,0.86976,0.68069,-0.28798,8,0.65311,9
0.23028,0.19104,0.95449,0.8411,1.2555,0.46402,1.0993,-0.31478,-0.11078,1.1028,0.046679,-0.46696,1.6426,-0.35067,0.95825,0.22213,2.1572,0.46394,8.3453,0.58344,-0.011537,0.86439,5,0.82483,-0.38542,0.085826,7,1.0156,-0.24158,-0.16701,7,0.86103,8
0.041226,0.23953,-0.39172,0.31755,2.9563,0.12245,6.1166,-0.99239,-0.73418,0.7977,1.3414,0.43084,0.57117,0.6433,0.049932,0.96468,0.027338,0.42785,1.624,0.64216,0.66829,-0.44781,4,1.318,0.3234,-0.94925,2,0.97158,0.028994,0.38423,8,1.5008,9
0.02958,-0.33493,-0.40063,1.0111,0.67564,-0.24319,7.5332,-0.80883,-0.00543,0.32302,2.4687,-0.47216,0.32812,-0.32375,0.075648,0.018347,0.29085,0.28107,1.5731,0.63792,0.19733,0.58347,3,0.97052,-0.88147,0.75246,4,1.895,0.47763,-0.035771,3,1.5151,6
